Serial,CB,CR,D1,Nominal_Sensitivity(V)@50A/Im,Dark_Current(nA)@50A/Im,Maximum_sensitivity(V)@200A/Im
A23-829,11.26,1.73,11.15,842,1.1,1002
C23-876,9.79,0.92,10.93,897,0.12,1076
C23-888,8.72,1.62,8.69,749,0.2,877
C23-891,8.35,0.97,9.94,975,0.08,1155
C23-893,8.9,1.17,9.72,815,3,956
C23-894,9.92,1.66,10.79,846,1.5,1000
C23-898,10.27,14.88,8.88,835,0.35,984
C23-899,8.89,1.04,8.91,885,0.7,1039
E23-784,8.69,1.4,8.52,749,0.22,881
E23-785,9.37,1.27,9.4,740,1.2,878
E23-793,8.27,1.19,10.08,975,0.92,1170
E23-883,8.29,1.06,8.67,816,0.32,972
E23-929,8.56,1.62,10.93,717,0.46,847
E23-937,8.77,0.95,11.24,746,0.52,889
E23-957,8.24,1.13,9.19,757,0.095,893
E23-962,9.88,1.9,11.9,801,0.32,948
E23-963,9.9,1.81,11.69,804,0.27,953
E23-972,9,1.05,8.44,833,0.28,999
E23-973,9.2,1.41,7.87,764,0.52,911
E23-977,8.32,0.8,7.05,946,0.54,1130
F23-586,8.66,1.46,9.11,912,2.2,1096
F23-591,8.47,1.42,10.04,830,0.34,995
F23-612,9.96,1.55,11.03,829,0.12,985
F23-618,8.77,1.04,9.51,775,0.2,921
F23-619,9.42,1.53,11.11,910,0.74,1093
F23-634,8.26,0.98,8.57,813,0.1,971
F23-638,9.27,1.06,9.55,803,0.58,953
F23-658,8.78,1.4,9.09,917,0.4,1095
F23-680,8.4,1.06,9.27,858,1.4,1021
F23-682,8.03,1.74,7.67,934,0.12,1122
F23-705,8.98,0.72,9.45,966,2.6,1160
F23-722,9.12,0.37,10.56,928,0.08,1108
F23-738,8.85,0.97,9.37,961,0.29,1154
F23-783,9.44,0.96,8.38,1054,0.18,1262
F23-830,9.42,1.28,10.29,810,0.48,966
F23-864,8.04,2.43,10.81,781,0.25,922
F23-975,12.01,1.34,11.6,782,4.6,928
F23-978,11.24,1.59,10.16,1082,0.98,1301
F23-979,10.36,1.68,11.05,805,0.7,952
F23-986,8.63,0.68,8.94,1204,0.5,1456
A24-1043,9.92,1.27,8.32,814,0.26,962
A24-1071,8.51,1.32,10.07,860,0.28,1017
A24-1072,9.78,1.97,8.79,795,0.32,947
A24-1073,10.15,1.7,9.78,868,0.74,1042
A24-1074,9.61,1.39,10.85,805,1.2,957
A24-1075,8.87,1.33,10.39,829,3.6,980
A24-1076,10.09,0.37,7.95,1103,0.44,1331
A24-1077,8.1,1.37,8.94,758,0.74,902
24A-1079,10.3,0.7,9.4,818,0.78,973
A24-1079,10.03,0.7,9.35,818,0.78,973
A24-1080,9.49,1.25,9.66,786,2.4,933
A24-1082,10.6,1.39,10.94,765,0.62,906
A24-1083,11.29,1.28,10.16,1004,0.36,1205
A24-1084,11.38,1.11,12.13,907,0.22,1090
A24-1085,11.61,1.22,11.33,820,0.22,971
A24-1086,10.26,1.25,10.87,900,0.6,1070
A24-1087,9.67,0.79,11.27,1074,1.2,1301
A24-1090,8.74,1.6,10.67,772,1.4,914
A24-1091,8.56,1.6,9.45,1145,0.14,1374
A24-1092,9.59,0.86,9.41,1233,3.6,1493
A24-1093,9.72,1.7,10.8,837,0.22,992
A24-1094,11.35,2.3,11.03,792,0.48,943
A24-1095,9.26,1.74,10.86,819,0.22,972
A24-1096,10.82,2.15,11.46,768,0.08,911
A24-1098,8.08,1.29,10.55,882,1.6,1055
A24-1099,10.55,1.89,11.53,730,0.42,865
A24-1100,12.24,1.66,12.04,852,1.8,1011
A24-1103,12.19,1.34,11.47,786,0.54,936
A24-1104,12.36,1.38,11.67,851,0.42,1012
A24-1105,10.94,1.31,9.65,832,0.42,993
A24-1106,11.15,0.85,9.78,1117,3.4,1354
A24-1108,10.92,0.97,10.86,1097,1,1321
A24-1109,10.19,0.25,11.71,863,1.4,1031
A24-1110,10.89,1.72,11.33,901,6.2,1077
B24-1111,9.5,1.32,10.26,1008,0.32,1210
B24-1112,9.62,1.43,10.69,906,2.4,1080
B24-1113,10.25,1.04,9.21,1030,3.2,1232
B24-1114,11.49,1.81,11.05,1063,0.56,1290
B24-1115,10.47,0.64,9.76,1010,2.4,1215
B24-1116,10.52,1.45,11.05,815,7.4,969
B24-1117,8.71,1.97,10.5,816,7.6,970
B24-1120,12.4,1.36,10.69,924,0.38,1110
B24-1122,10.98,0.89,11.01,1181,1.2,1426
B24-1123,11.17,1.16,10.46,1313,1.2,1601
B24-1124,11.52,1.22,11.4,965,4.6,1164
B24-1125,10.04,0.73,10.21,1056,4.4,1280
B24-1126,11.19,1.14,11.81,1021,5.4,1234
B24-1127,9.38,0.86,9.7,913,0.44,1095
B24-1129,10.28,0.81,9.91,950,8.6,1137
B24-1130,9.69,1.71,10.51,1148,10,1388
B24-1132,10.39,1.74,10.3,892,0.56,1065
B24-1133,9.16,1.84,10.63,810,4.2,970
B24-1134,9.4,2.06,10.54,911,3.4,1095
B24-1137,11.44,2.15,12.59,803,4.2,955
B24-1138,11.92,1.64,11.49,917,3.2,1101
B24-1140,11.09,0.93,11.52,942,3.2,1134
B24-1141,10.98,1.56,11.67,944,0.16,1128
B24-1143,11.6,2.01,11.12,844,2.8,1012
B24-1144,10.87,1.3,10.39,967,0.18,1171
B24-1145,9.04,1.28,9.99,834,1.2,998
B24-1146,9.79,1.35,10.14,1000,0.28,1214
B24-1148,11.74,1.61,11.44,931,0.32,1117
B24-1149,9.83,0.97,9.71,876,0.26,1045
B24-1150,10.95,1.6,10.96,919,0.46,1100
B24-1151,10.31,1,11,790,0.18,933
B24-1153,10.33,1.19,10.14,1045,1.2,1743
B24-1154,11.03,1.26,9.65,1012,0.34,1218
B24-1155,11.03,1.36,9.66,950,1.1,1145
B24-1156,9.53,0.49,9.38,966,1.2,1154
B24-1157,10.32,1.62,10.1,880,9,1044
B24-1158,11.7,1.31,11.17,945,0.22,1122
B24-1159,11.82,1.09,9.35,954,0.3,1125
D24-1191,9.09,1.68,9.11,881,0.32,1050
D24-1192,11.82,1.36,11.23,898,0.08,1077
D24-1193,10.33,1.43,10.35,764,0.46,1017
D24-1194,9.37,1.71,9.87,852,0.4,1016
D24-1195,10.54,0.52,10.48,804,0.16,956
D24-1196,9.22,1.21,9.34,775,0.64,923
D24-1197,11.37,1.71,10.53,773,0.66,918
D24-1198,8.66,1.63,9.48,871,0.28,1042
D24-1199,10.27,1.44,9.65,822,0.22,978
D24-1200,8.39,1.97,9.8,773,0.58,915
D24-1201,10.08,2.01,10.43,744,0.32,879
D24-1202,8.98,1.57,10.43,735,0.24,873
D24-1203,8.33,1.85,9.72,784,1.8,933
D24-1204,10.97,1.91,11.46,755,0.28,894
J23-1051,8.18,0.81,9.61,935,4.6,1115
J23-1056,9.91,1.2,10.86,828,0.22,985
J23-1060,8.17,0.56,8.59,1003,5.2,1201
J23-1062,9.85,1.44,11.52,844,4.2,996
J23-1067,8.23,1.64,8.6,984,0.26,1152
J23-1068,11.38,1.34,11.71,886,0.81,1060
K23-1057,10.29,0.53,8.18,893,0.78,1061
K23-1058,10.54,1.21,8.68,719,4.2,850
K23-1064,9.97,0.66,7.31,1163,3.19,1394
K23-1066,8.9,0.34,5.02,1448,0.235,1966
K23-1069,10.51,0.99,8.04,1006,0.356,1190
K23-1070,9.58,0.47,7.56,1510,0.26,2113
G23-976,11.58,67,9.93,1217,1.6,1480
G23-990,9.64,0.92,8.48,762,0.22,903
G23-992,9.9,1.02,10.45,935,0.18,1117
G23-994,9.87,0.68,8.63,780,1.2,926
G23-995,8.64,0.9,8.52,741,0.32,882
G23-996,10.83,1.16,10.94,837,0.12,1003
G23-997,8.71,1.17,10.06,772,10,916
G23-1000,9.99,1.51,10.21,899,0.12,1083
G23-1004,10.16,0.9,9.38,725,0.52,856
G23-1006,8.84,0.79,9.66,809,1.2,961
G23-1008,11.48,1.77,11.6,781,3.8,922
G23-1009,8.1,0.97,9.16,828,0.18,989
G23-1010,8.06,1.03,10.38,769,0.45,914
G23-1011,8.1,0.87,9.61,886,0.045,1055
G23-1012,9.32,1.89,9.61,886,0.045,1055
G23-1013,11.65,1.27,11.25,965,0.95,1150
G23-1014,8.86,5.16,5.31,1567,7.2,1924
G23-1016,9.34,0.9,8.33,802,0.42,952
G23-1017,10.02,0.71,9.52,729,0.22,851
G23-1018,9.63,0.51,8.8,1092,0.45,1314
H23-1021,10.19,1.13,11.4,911,0.07,1090
H23-1023,10.5,0.68,9.04,1061,4.88,1274
H23-1024,10.25,0.67,8.92,1073,0.36,1290
H23-1025,10.42,0.79,9.36,938,6.8,1122
H23-1028,10.03,1.07,10.34,842,0.32,998
H23-1029,8.99,1.07,9.96,920,0.68,1092
H23-1030,9.3,0.96,10.22,1066,0.86,1275
H23-1033,8.68,1.29,9.71,870,0.12,1039
H23-1034,10.33,1.36,10.23,957,0.16,1146
H23-1035,10.82,1.66,11,878,0.22,1056
H23-1037,8.26,1.69,8.62,765,3.6,911
H23-1041,10.75,1.58,10.62,806,1.8,957
I23-546,10.06,0.96,8.03,845,0.92,1006
I23-949,10.45,1.62,9.16,755,1,896
I23-951,9.84,1.17,8.32,767,6.8,909
I23-953,10.41,1.38,9.17,797,0.08,945
I23-988,8.53,1.26,7.94,753,1,886
I23-989,9.75,0.69,8.18,884,1.2,1056
I23-998,11.35,1.2,9.79,746,0.18,888
I23-999,9.06,0.99,8.22,988,0.34,1196
I23-1042,11.59,1.31,9.69,762,2.8,903
I23-1044,9.83,1.63,8.33,823,1.8,979
I23-1049,10.76,1,10.88,797,0.14,943
I23-1050,10.51,1,9.11,946,0.1,1136
I23-1054,11.37,1.56,9.45,800,0.28,951
I23-1055,9.63,1.59,7.28,912,0.68,7.28
E24-1206,8.93,1.8,9.21,767,0.7,902
E24-1209,12.66,2.36,10.92,766,0.27,900
E24-1211,10.92,1.43,11.43,770,0.1,900
E24-1212,10.98,0.84,10.43,1000,0.2,1185
E24-1213,12.45,1.89,11.47,818,0.14,966
E24-1214,8.96,1.32,9.58,795,0.2,933
E24-1215,10.61,0.78,9.44,916,0.28,1102
E24-1216,9.17,2.14,9.19,842,3,999
E24-1217,10.83,1.36,10,790,0.76,935
E24-1218,10.19,1.19,10.91,818,0.7,966
E24-1220,10.01,1.29,9.43,875,0.27,1043
E24-1222,9.34,1.47,9.97,778,1,921
E24-1223,11.68,2.31,11.31,700,1.05,822
E24-1224,9,1.45,9.4,788,0.19,928
E24-1225,12.14,1.4,11.28,790,0.2,932
E24-1226,11.28,2,11.5,730,0.27,860
E24-1227,10.54,1.47,10.75,777,8,918
F24-1258,9.01,1.67,9.92,808,1.8,959
F24-1259,8.07,1.98,9.33,891,0.62,1061
F24-1249,9.75,1.73,9.51,1138,3.2,1372
F24-1250,9.71,2.04,9.36,892,1.8,1061
F24-1248,9.8,1.81,10.15,825,1.8,987
F24-1251,10.98,1.31,11.08,883,1.8,1049
F24-1255,11.17,1.71,10.83,789,0.18,942
F24-1256,10.37,2.08,10.63,812,0.34,964
F24-1242,10.02,1.57,9.88,720,0.201,838
F24-1244,8.75,1.67,9.76,875,0.52,1049
